OBJECTID,perimeter,firezones_,firezones_id,dist_zone,olddist_zone,mapbook,pagerotate,firezones,pghdb_sde_Fire_Zones_area,Shape__Area,Shape__Length
1,21064.6484375,8,6,3-9,3-9,3-9,90,,29172082,28282640.222229,21372.4207602161
2,11970.94335938,36,65,2-9,2-9,2-9,,,8786086,7737249.95257568,12881.3063928805
3,32415.30859375,7,5,3-15,3-17,3-15,,15,39500204,17305156.5515137,40108.5283897517
4,13293.01074219,15,12,1-14,1-14,1-14 ,90,14,6426350.5,6426447.2767334,13291.9954997574
5,16103.38671875,43,33,2-14,2-7,2-14,,14,10803816,7003120.87072754,11950.5386082227
6,21683.0703125,48,37,4-1,4-1,4-1,,1,27563012,22633245.5762634,18760.90858992
7,38714.03515625,5,3,3-5,3-5,3-5,,5,32768250,28557586.2471313,27554.4206523383
9,22039.53515625,52,41,4-2,4-2,4-2,,2,8698928,8303507.7605896,23516.3993249905
10,35271.57421875,20,15,1-20,1-5,1-20,,20,21662238,5262621.33624268,10413.3872707625
11,21450.68359375,13,10,1-22,1-12,1-22,,22,16209233,3451713.49725342,9020.88405642067
12,17024.7109375,65,52,4-7,4-6,4-7,,7,6122821,14504470.3477173,16631.6773868725
13,18632.82226563,31,71,2-24,2-8,2-24,,24,15531931,2162204.70129395,10056.361214851
14,13588.21191406,4,2,3-24,3-18,3-24,,24,7810766.5,7947640.14465332,13821.8698428695
15,37477.13671875,73,69,4-25,4-14,4-25,90,25,30181938,33207783.5673218,38400.8275414191
16,14544.68261719,35,63,2-5,2-4,2-5,,5,12965830,10719263.3204956,13521.8521446275
17,17460.49609375,40,32,2-10,2-5,2-10,,10,12203144,11972871.4703369,22591.3839177746
18,22750.7890625,9,7,1-13,1-13,1-13,,13,17598132,8530250.98248291,13346.7371449595
19,14297.24316406,49,38,2-2,2-1,2-2,,2,10144583,5063490.55273438,19932.2935275031
20,33777.2421875,64,51,2-13,2-14,2-13,,13,41653148,42870624.0950317,33127.9689279709
21,34489.01953125,2,1,1-15,1-15,1-15,90,15,44767344,45804639.3096313,36006.8500542093
22,32833.01953125,69,56,4-26,4-11,4-26,90,26,43962372,41008875.6243896,32200.5725695555
23,23130.34179688,61,54,4-16,4-5,4-16,,16,26184048,7693055.69500732,11009.0763180873
24,23149.87890625,39,31,2-18,2-18,2-18,,18,27465014,11516134.4417725,16709.1137986423
25,26036.453125,60,48,2-12,2-13,2-12,,12,26663672,34247759.9645996,40777.2130503126
26,23130.34179688,61,54,4-21,4-5,4-21,90,21,26184048,5809543.08908081,10481.4643964256
27,,,,1-1,,1-1,,1,,5264155.1060791,23738.0693788526
28,16711.10351563,22,17,3-10,3-10,3-10,,10,10602369,5571436.67626953,13333.7878999341
29,40074.53515625,28,23,3-19,3-15,3-19,,19,48572012,6909145.16772461,11618.6186208643
30,12395.83984375,45,70,2-26,2-10,2-26,,26,7616785.5,3883534.89349365,8908.2824623111
31,36077.82421875,47,36,1-18,1-18,1-18,,18,34056464,33671813.6822205,36548.9669368494
32,16005.484375,30,25,3-22,3-11,3-22,,22,14730446,8893999.24255371,13696.4671886551
33,49542.3515625,24,19,1-27,1-16,1-27,,27,79547528,4803542.28149414,16322.8729191504
34,16770.609375,29,24,1-7,1-7,1-7,,7,9996401,11910399.9928589,16465.447721329
35,31655.44726563,6,4,3-7,3-6,3-7,,7,29768284,30024820.7495117,27802.5097672941
36,26113.64648438,63,50,4-9,4-9,4-9,90,9,25473958,28694958.4707336,31998.9558355358
37,27962.7265625,59,73,2-19,2-16,2-19,,19,21615726,13183703.5830688,19518.2879207814
38,23337.58789063,72,58,4-19,4-16,4-19,90,19,18161472,26465811.7505798,27566.7460637826
39,12601.47070313,38,30,2-3,2-2,2-3,,3,6506588.5,7070530.93054199,13806.3302965435
40,25189.7265625,46,72,2-8,2-12,2-8,,8,28261214,26916933.5823975,24981.4386953463
41,16005.484375,30,25,3-8,3-8,3-8,,8,14730446,10254959.3098145,16903.1268233912
42,14802.08789063,16,13,1-2,1-4,1-2,,2,6457964,6162622.88006592,16801.9754961556
43,,,,3-16,,3-16,,16,,13433752.6939087,19167.4428085589
44,18270.71484375,66,53,4-22,4-7,4-22,,22,10485439,9399837.56259155,18318.4915330378
45,49542.3515625,24,19,1-16,1-16,1-16,,16,79547528,75368821.4416199,48981.1197700041
46,27919.50195313,67,55,4-8,4-8,4-8,,8,23796216,24457384.5304565,25959.646891685
47,12234.00488281,21,16,3-12,3-12,3-12,90,12,5185665,9732359.72723389,21482.8060323209
48,8361.81152344,34,28,2-25,3-1,2-25,,25,4330626.5,5427829.45062256,10834.6906134828
49,16770.609375,29,24,1-21,1-7,1-21,,21,9996401,5280218.68811035,9998.06087220247
50,29494.83398438,41,35,2-16,3-14,2-16,90,16,27160136,8001928.08135986,15436.0047630296
51,39067.9453125,74,59,4-23,4-15,4-23,90,23,37475536,28492078.9441223,28658.9618934833
52,14297.24316406,49,38,2-4,2-1,2-4,,4,10144583,8198908.55386353,12992.9420394115
53,34129.38671875,12,9,3-6,3-4,3-6,,6,33484368,10879121.1360474,22407.8744114472
54,14743.93457031,44,34,1-3,1-2,1-3,,3,7455709.5,7820775.40472412,16062.9584166722
55,,,,3-20,,3-20,,20,,26851364.1717529,27972.9049985807
56,17786.52539063,17,14,3-18,3-16,3-18,90,18,10235825,30877993.4397583,31872.9851469062
57,13843.07324219,11,8,3-3,3-3,3-3,,3,8852038,15482498.6220703,17735.0293844233
58,37038.16796875,57,46,4-3,4-3,4-3,,3,28688790,3119627.44781494,7906.76400948999
59,35271.57421875,20,15,1-5,1-5,1-5,,5,21662238,5948529.94274902,13546.0666454545
60,39067.9453125,74,59,4-15,4-15,4-15,90,15,37475536,6629046.24069214,13791.0875950054
61,17174.94335938,23,18,3-23,3-7,3-23,,23,14746719,9963849.57830811,13557.8345162057
62,10870.50292969,33,27,3-13,3-13,3-13,,13,5753100.5,5855660.6619873,9723.74380131311
63,14544.68261719,35,63,2-6,2-4,2-6,,6,12965830,5971180.40264893,17061.9161574169
64,21450.68359375,13,10,1-12,1-12,1-12,,12,16209233,10076648.3944092,16951.014891798
65,13933.46777344,32,26,1-6,1-6,1-6,90,6,8405559,7162014.95251465,17979.9325732851
66,19086.00195313,42,64,2-1,2-3,2-1,,1,16320277,15993254.270874,19498.5575879986
67,49542.3515625,16,19,1-16A,1-16,1-16A,,16A,79547528,12086232.5699768,17733.2767064503
68,17024.7109375,65,52,4-6,4-6,4-6,,6,6122821,5739350.85391235,12306.6981782311
69,16711.10351563,22,17,3-11,3-10,3-11,,11,10602369,10024551.4589233,14219.5154362119
70,21760.76171875,10,62,1-11,1-11,1-11,,11,14946825,15692015.3408203,19933.3660593032
71,21110.11914063,55,44,4-27,4-4,4-27,90,27,15914156,18975213.6729736,25215.5132957547
72,15968.45214844,18,67,1-9,1-9,1-9,90,9,11459202,10397612.307251,17744.688605673
73,40074.53515625,28,23,3-17,3-15,3-17,,17,48572012,32376718.2484741,33690.5938993402
74,26406.50390625,62,49,2-15,2-15,2-15,,15,25541166,13922510.1075134,22085.3209261082
75,37038.16796875,57,46,4-24,4-3,4-24,,24,28688790,28820873.0924988,34460.5477157741
76,11804.1953125,26,21,3-2,3-2,3-2,,2,7601154,6517313.38793945,11033.4612968965
77,18632.82226563,31,71,2-22,2-8,2-22,90,22,15531931,8536444.64575195,12810.158449465
78,36216.453125,37,29,1-17,1-17,1-17,,17,34314576,34626314.4136047,38258.8510184784
79,,,,3-21,,3-21,,21,,22661645.3689575,34396.1579069095
80,16513.45507813,71,57,4-13,4-13,4-13,,13,4181765,2640477.61636353,21340.8409273866
81,27205.30078125,53,42,2-21,2-17,2-21,,21,29850426,34616608.9299316,32201.3420368162
82,23149.87890625,39,31,2-17,2-18,2-17,,17,27465014,17500225.4973145,20895.6978026826
83,17393.78320313,51,40,2-11,2-11,2-11,90,11,11517214,8500281.54577637,15150.7383813217
84,22750.7890625,9,7,1-23,1-13,1-23,,23,17598132,7254246.36535645,12508.6738698731
85,72584.2578125,75,60,4-20,4-17,4-20,90,20,80209296,71571393.1634216,62152.6970333759
86,21453.40039063,27,22,1-8,1-8,1-8,90,8,23872014,18009107.5809937,18689.2819656127
87,40074.53515625,28,23,3-14,3-15,3-14,,14,48572012,26616201.1045532,23228.9229885353
88,41726.79296875,58,47,4-28,4-10,4-28,90,28,42999308,40627636.7651062,33231.4126999906
89,17174.94335938,23,18,3-4,3-7,3-4,,4,14746719,12638048.0774536,16062.6891533446
90,32771.99609375,70,66,4-12,4-12,4-12,90,12,29157502,16572950.8941345,20974.3174870429
91,14637.13964844,25,20,1-10,1-10,1-10,,10,9575839,9919999.28601074,15916.6887288158
92,23130.34179688,61,54,4-18,4-5,4-18,90,18,26184048,2305596.03918457,11562.4767476833
93,,,,3-26,3-26,3-26,,26,,33642603.3737793,38080.9446622683
94,16103.38671875,43,33,2-7,2-7,2-7,,7,10803816,6365774.48364258,11748.5121615968
95,18632.82226563,31,71,2-23,2-8,2-23,,23,15531931,5900176.02044678,15350.3882717947
96,34129.38671875,12,9,3-1,3-4,3-1,,1,33484368,8374304.03234863,19258.1577190779
97,36696.40234375,3,68,1-14,1-14,1-14,90,14,54019856,31205702.7416992,31322.730696259
98,36077.82421875,47,36,1-19,1-18,1-19,,19,34056464,19217524.2786865,28913.1072253069
99,27962.7265625,59,73,2-20,2-16,2-20,,20,21615726,10828790.9671631,20652.3447932619
100,14743.93457031,50,39,1-4,1-1,1-4,,4,7455709.5,5996945.27639771,10891.1670859303
101,23130.34179688,61,54,4-5,4-5,4-5,,5,26184048,10567780.7286987,14951.117704705
102,35271.57421875,20,15,1-24,1-5,1-24,,24,21662238,7479788.18908691,14589.1878406573
109,36696.40234375,3,68,1-14A,1-14,1-14A,90,14A,54019856,26309339.4353638,42822.3296395676
